Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Expected Years of School,HD.HCI.EYRS,Afghanistan,AFG,..,..,..,..,..,..,..,8.58,8.72033977508545,..,8.90189075469971
Expected Years of School,HD.HCI.EYRS,Albania,ALB,11.6156501770019,..,..,..,..,..,..,12.99,12.8855075836182,..,12.8893814086914
Expected Years of School,HD.HCI.EYRS,Algeria,DZA,11.3269014358521,..,..,..,..,..,..,11.42,11.7753181457519,..,11.8480348587036
Expected Years of School,HD.HCI.EYRS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
Expected Years of School,HD.HCI.EYRS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
Expected Years of School,HD.HCI.EYRS,Angola,AGO,..,..,..,..,..,..,..,7.89,8.12006568908691,..,8.12006568908691
Expected Years of School,HD.HCI.EYRS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,12.7771034240723,..,12.9675598144531
Expected Years of School,HD.HCI.EYRS,Argentina,ARG,12.5897855758667,..,..,..,..,..,..,13.07,12.8795232772827,..,12.8795232772827
Expected Years of School,HD.HCI.EYRS,Armenia,ARM,..,..,..,..,..,..,..,11.09,11.3868026733398,..,11.2798700332642
Expected Years of School,HD.HCI.EYRS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..
Expected Years of School,HD.HCI.EYRS,Australia,AUS,12.8842010498047,..,..,..,..,..,..,13.77,13.6014432907104,..,13.6014432907104
Expected Years of School,HD.HCI.EYRS,Austria,AUT,13.4628982543945,..,..,..,..,..,..,13.89,13.4275989532471,..,13.4275989532471
Expected Years of School,HD.HCI.EYRS,Azerbaijan,AZE,10.6936292648315,..,..,..,..,..,..,11.58,12.4046535491943,..,12.4437866210938
Expected Years of School,HD.HCI.EYRS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..
Expected Years of School,HD.HCI.EYRS,Bahrain,BHR,12.0526485443115,..,..,..,..,..,..,13.28,13.1706819534302,..,12.8496723175049
Expected Years of School,HD.HCI.EYRS,Bangladesh,BGD,8.15542411804199,..,..,..,..,..,..,11.03,10.1777858734131,..,10.1635427474976
Expected Years of School,HD.HCI.EYRS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..
Expected Years of School,HD.HCI.EYRS,Belarus,BLR,13.6509952545166,..,..,..,..,..,..,..,13.8009767532349,..,13.8077774047852
Expected Years of School,HD.HCI.EYRS,Belgium,BEL,13.2512855529785,..,..,..,..,..,..,13.41,13.5244760513306,..,13.5244760513306
Expected Years of School,HD.HCI.EYRS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..
Expected Years of School,HD.HCI.EYRS,Benin,BEN,8.24198913574219,..,..,..,..,..,..,9.32,9.18758773803711,..,9.22453594207764
Expected Years of School,HD.HCI.EYRS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
