Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop]
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2020,YR2020,..,..,4.197,..,..,..,..,..,..,..,..,..,3.747,..,..,..,..,15.2,2837849
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2020,YR2020,..,..,3.76,..,..,..,..,..,..,..,..,..,3.357,..,..,..,..,27.9,43451666
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2020,YR2020,..,..,4.534,..,..,..,..,..,..,..,..,..,4.048,..,..,..,..,84.7,33428486
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2020,YR2020,..,..,4.504,..,..,..,..,..,..,..,..,..,4.021,..,..,..,..,..,92664
Food Prices for Nutrition 1.1,FPN 1.1,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Armenia,ARM,2020,YR2020,..,..,3.247,..,..,..,..,..,..,..,..,..,2.899,..,..,..,..,39.5,2805608
Food Prices for Nutrition 1.1,FPN 1.1,Aruba,ABW,2020,YR2020,..,..,4.138,..,..,..,..,..,..,..,..,..,3.695,..,..,..,..,..,106585
Food Prices for Nutrition 1.1,FPN 1.1,Australia,AUS,2020,YR2020,..,..,2.561,..,..,..,..,..,..,..,..,..,2.287,..,..,..,..,0.7,25655289
Food Prices for Nutrition 1.1,FPN 1.1,Austria,AUT,2020,YR2020,..,..,2.981,..,..,..,..,..,..,..,..,..,2.662,..,..,..,..,0.8,8916864
Food Prices for Nutrition 1.1,FPN 1.1,Azerbaijan,AZE,2020,YR2020,..,..,2.533,..,..,..,..,..,..,..,..,..,2.262,..,..,..,..,0,10093121
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2020,YR2020,..,..,4.488,..,..,..,..,..,..,..,..,..,4.007,..,..,..,..,..,406471
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2020,YR2020,..,..,3.835,..,..,..,..,..,..,..,..,..,3.424,..,..,..,..,..,1477469
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2020,YR2020,..,..,3.064,..,..,..,..,..,..,..,..,..,2.736,..,..,..,..,70,167420951
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2020,YR2020,..,..,3.31,..,..,..,..,..,..,..,..,..,2.955,..,..,..,..,1.4,9379952
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2020,YR2020,..,..,3.13,..,..,..,..,..,..,..,..,..,2.795,..,..,..,..,0.2,11538604
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2020,YR2020,..,..,2.14,..,..,..,..,..,..,..,..,..,1.911,..,..,..,..,43,394921
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2020,YR2020,..,..,3.707,..,..,..,..,..,..,..,..,..,3.31,..,..,..,..,82.4,12643123
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2020,YR2020,..,..,3.616,..,..,..,..,..,..,..,..,..,3.229,..,..,..,..,..,63893
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2020,YR2020,..,..,5.029,..,..,..,..,..,..,..,..,..,4.49,..,..,..,..,46.1,772506
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2020,YR2020,..,..,3.755,..,..,..,..,..,..,..,..,..,3.353,..,..,..,..,15.5,11936162
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2020,YR2020,..,..,3.995,..,..,..,..,..,..,..,..,..,3.567,..,..,..,..,3.7,3318407
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2020,YR2020,..,..,3.701,..,..,..,..,..,..,..,..,..,3.304,..,..,..,..,60.9,2546402
Food Prices for Nutrition 1.1,FPN 1.1,Brazil,BRA,2020,YR2020,..,..,3.084,..,..,..,..,..,..,..,..,..,2.754,..,..,..,..,20.2,213196304
Food Prices for Nutrition 1.1,FPN 1.1,British Virgin Islands,VGB,2020,YR2020,..,..,3.337,..,..,..,..,..,..,..,..,..,2.979,..,..,..,..,..,30910
