,electricity_access,agriculture,age_dependency,cpi,female_family_workers,male_family_workers,gender_equality,social_protection,electric_consumption,internet_subscribers,GDP_per_capita,GINI_index,education_government_spending,total_cases,total_deaths
Afghanistan,84.1371383666992,20.9658976104561,86.5709321507136,137.904563672559,58.0439987182617,19.7749996185303,1.5,2.5,,0.0253952904937299,617.889972323552,,,52330.0,2189.0
Albania,100,19.9067237914091,44.0015401014685,112.834428489197,40.3009986877441,22.5219993591309,,,,9.10277930034295,4683.80021257139,,,57146.0,1170.0
Algeria,99.439567565918,12.295779686707,53.9078874261101,134.844870195013,1.64600002765656,1.20799994468689,,,,7.04221873133591,4827.72425138732,,,99311.0,2751.0
American Samoa,,,,,,,,,,,9614.47267179797,,,,
Andorra,100,0.492101388264151,,,,,,,,42.0413814521034,42958.558392534,,3.27811002731323,7983.0,84.0
Angola,40.5206069946289,,97.2742116775173,213.197420100571,11.6879997253418,9.02000045776367,,,,0.427352310966578,3576.18689373314,,,17433.0,405.0
Antigua and Barbuda,97.3546676635742,1.64237654071171,44.8183369909778,109.779789209262,,,,,,9.17266721472222,13315.5086311154,,,158.0,5.0
Arab World,88.7686540243445,5.69085732609603,62.0574752897263,,19.0641250414773,4.5390830570453,2.7,2.8,,5.01292382636175,6449.36504919855,,,,
Argentina,100,6.35390413957503,56.5422464275751,,1.23199999332428,0.481000006198883,,,,16.4936759121344,10206.2495504416,42.4,,1674319.0,48271.0
Armenia,100,16.39047353385,44.8949433189816,123.014933984404,9.47399997711182,3.99399995803833,,,,10.2286776330545,3932.55461733401,32.5,2.75129008293152,159409.0,2823.0
Aruba,95.5701446533203,,44.6079986756246,102.485244679054,,,,,,,,,,5373.0,49.0
Australia,100,2.4305798250667,51.8630483195639,113.475546305931,0.268999993801117,0.194000005722046,,,,30.5647287506744,55731.4955736202,,,28381.0,920.0
Austria,100,1.10158899771897,49.5298368459148,111.675470271742,1.65199995040894,1.39800000190735,,,,28.9630431661026,48077.8783610298,,,352657.0,7379.0
Azerbaijan,100,5.6,40.8816025988089,132.387827722937,41.3400001525879,26.007999420166,,,,18.5459359103442,5861.51196206606,,,216584.0,2575.0
"""Bahamas, The""",100,0.880156772645876,41.1263937436197,109.223338388445,0.19200000166893,0.196999996900558,,,,21.4090360706691,26439.0536351685,,,,
Bahrain,100,0.333018732924105,29.2565420904034,113.613382899628,0.486000001430511,0.307000011205673,,,,16.2934833784858,22291.4042492524,,2.6645200252533,92425.0,352.0
Bangladesh,75.92,14.0455478408371,51.4654234704502,152.324266432058,37.7369995117188,4.66099977493286,3.5,3.5,,4.04561699194534,1029.57797933458,32.4,2.50031995773315,513510.0,7559.0
Barbados,100,1.37998034907983,50.9632650899171,118.712836656173,0.133000001311302,0.104999996721745,,,,32.4355429549888,16273.4065921271,,5.09272003173828,372.0,7.0
Belarus,100,6.89528062433517,44.966823973522,,0.0469999983906746,0.061999998986721,,,,32.3577574867284,6229.20674452567,27,4.97945976257324,192361.0,1414.0
Belgium,100,0.61749191345839,54.7983939052332,110.773882150291,1.20299994945526,0.467000007629395,,,,37.5961129664717,45457.8993419591,,,645277.0,19674.0
Belize,92.2143173217773,10.5937804154479,55.6604734029015,104.475184103221,4.81300020217896,3.54200005531311,,,,5.99530186344882,4367.49987563697,,,10668.0,241.0
Benin,41.4026145935059,23.2404164298103,85.5341905465139,108.879901044885,19.2639999389648,11.4180002212524,3.5,3,,0.204970467145032,837.199037667056,,,3251.0,44.0
Bermuda,100,,,,,,,,,36.9685077676515,,,,595.0,10.0
Bhutan,100,16.5224756460112,46.4630145386249,152.545396982805,48.2220001220703,23.9459991455078,4,3,,2.06689940019931,2801.27524003561,,,670.0,
Bolivia,93.0391311645508,11.1718754576911,62.8959710638084,138.496315671054,5.66699981689453,4.42000007629395,,,,2.6413677150432,2457.62596155017,44.6,,156887.0,9135.0
Bosnia and Herzegovina,100,6.37022564342162,43.5833619126941,102.551366923045,8.67399978637695,1.83899998664856,,,,18.8371526972125,5382.62414642085,,,110985.0,4050.0
Botswana,60.6883964538574,2.0494299453247,54.9102244080015,136.623156350634,3.46000003814697,3.03200006484985,,,,2.62445228551367,7485.04391177323,,,14637.0,43.0
Brazil,100,4.89138608590072,43.6443157926871,150.482602233368,3.52600002288818,1.40100002288818,,,,12.8852472129388,10868.6534435351,,,7563551.0,192681.0
British Virgin Islands,,,,,,,,,,20.2961416783536,,,,93.0,1.0
Brunei Darussalam,100,1.20365490995634,38.3314429164937,99.2754845571304,0.980000019073486,0.375,,,,8.53410712766661,31430.9626624001,,4.42540979385376,,
Bulgaria,100,4.05482211284618,52.8289936362545,105.755782341187,0.830999970436096,0.433999985456467,,,,23.8041285598782,7967.70816911051,,,201220.0,7515.0
Burkina Faso,19.1647129058838,29.0131868931726,91.561139777724,107.733167082294,56.3540000915527,33.0480003356934,3.5,3,,0.0743037555762006,663.961762877322,,,6707.0,85.0
Burundi,7.58847713470459,36.3588033381934,90.1197882258195,162.583720148134,11.5229997634888,3.36899995803833,4,3,,0.0374853301231828,218.28352838019,,,818.0,2.0
Cabo Verde,92.6115875244141,8.46161277257287,54.0767985287945,107.094625376283,15.8190002441406,4.43699979782104,4,4,,2.88030988212618,3447.56007669879,,5.43770980834961,,
Cambodia,49.7706565856934,24.7426644196582,55.3992529338044,121.071456725754,26.7590007781982,11.0410003662109,4,2.5,,0.613524489020369,1079.1135407797,,,366.0,
Cameroon,60.0747680664063,15.3299293378697,85.4205882355268,113.854180430793,1.85399997234344,0.941999971866608,3,3,,0.196141598585173,1495.44336202907,,,26848.0,448.0
Canada,100,,48.2439168641162,110.224670864339,0.168999999761581,0.116999998688698,,,,36.8903021899639,50407.3413301242,,,565504.0,15274.0
Cayman Islands,100,,,102.941899128965,,,,,,40.3768616802436,,,,326.0,2.0
Central African Republic,13.9851121902466,40.4735416380485,89.2512487699714,,2.71199989318848,2.75200009346008,2.5,2,,,325.720465732059,,,5818.0,63.0
Chad,8.83089828491211,49.4528502215433,99.42601630728,,50.7389984130859,12.6219997406006,2.5,3,,0.0724439982638349,874.767072140967,,,2077.0,105.0
Channel Islands,100,,47.6339590137458,,0.897000014781952,0.505999982357025,,,,,,,,,
Chile,100,4.02577334337026,45.5537828614934,122.669877441064,4.36100006103516,2.59800004959106,,,,16.2178665323935,14958.5622484938,,,605950.0,16499.0
China,100,8.56294266093139,38.549146051708,117.220567045682,13.3299999237061,3.83699989318848,,,,22.9851739297553,6894.46452231334,,,96673.0,4788.0
Colombia,99.0044555664063,6.67148294662814,45.3930293588412,126.423329656099,5.73299980163574,2.05900001525879,,,,12.1532425090208,7531.98257835885,50.8,4.48296022415161,1614822.0,42620.0
Comoros,77.8442153930664,,75.1352695926283,,19.1429996490479,9.63599967956543,3,2.5,,0.205379329588575,768.438960248231,,,695.0,9.0
"""Congo, Dem. Rep.""",17.1473789215088,18.5997536402627,97.4964905285973,133.850926577035,21.1590003967285,8.9370002746582,2.5,2.5,,0.00127006459154793,407.563714233201,,,,
"""Congo, Rep.""",56.5661697387695,8.72903676484043,84.3862288965541,,4.42600011825562,4.59499979019165,3,2.5,,,2771.39734452277,,,,
Costa Rica,100,5.19176920700999,45.2005220586521,121.486651034497,0.19200000166893,0.142000004649162,,,,13.1573182818182,9583.86088930956,48.7,7.06338977813721,166799.0,2156.0
Cote d'Ivoire,64.3,20.9363478968684,83.4428128468934,111.685945921178,21.8700008392334,8.96199989318848,3,3,,0.575542142931869,1552.86101319083,,,22250.0,138.0
Croatia,100,3.42615686442861,51.5350073147446,106.107535062517,2.03699994087219,0.903999984264374,,,,24.7740173001224,14635.880009797,,,208446.0,3860.0
Cuba,100,,43.8170658089428,,0.0299999993294477,0.101999998092651,,,,0.125723445714711,,,,11687.0,145.0
Curacao,100,,53.2107626760834,,,,,,,26.8009863776973,,,,4179.0,14.0
Cyprus,100,1.80963933454452,42.8476381384424,100.011463554385,1.34800004959106,1.19500005245209,,,,32.7704165686044,28448.8223566393,,,22347.0,122.0
Czech Republic,100,2.20621632266553,50.9527539583137,108.215373588963,0.941999971866608,0.216999992728233,,,,28.9321019132411,21894.1126524738,,,,
Denmark,100,0.800789172308106,56.3115025198636,107.401124899563,0.874000012874603,0.705999970436096,,,,42.5701040114708,60670.2372143145,,,161230.0,1256.0
